DATA,PERIODO,NOME_EVENTO,DISTANCIA,MEDALHA,INFANTIL,LOCAL,MODALIDADE,VALOR,SITE
06/04/2025,Manhã,Corrida da Conscientização do Autismo 2025 - Salto,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/corrida-da-conscientizacao-do-autismo-2025-salto/
06/04/2025,Manhã,2° Caminhada da Saúde Pense Farma - 2025 - Cotia,,,,Cotia-SP,Caminhada,,https://esportividade.com.br/evento/2a-caminhada-da-saude-pense-farma-2025-cotia/
06/04/2025,Manhã,Circuito Popular de corrida de São Paulo 2025,7,SIM,SIM,Parque do Carmo,Corrida de Rua,Gratuito,https://esportividade.com.br/evento/parque-do-carmo-circuito-popular-de-corrida-de-sao-paulo-2025/
13/04/2025,,25° Meia Maratona Internacional da Cidade de São Paulo - 2025,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/25a-meia-maratona-internacional-da-cidade-de-sao-paulo-2025/
13/04/2025,,LIVE! RUN XP - abril de 2025 - São Paulo - marginal Pinheiros,,,,São Paulo - Zona Oeste,Corrida de rua, Corrida infantil,
13/04/2025,,Etapa Sesc Campo Limpo - Circuito Sesc de corridas 2025,,,,São Paulo - Zona Sul,Corrida de rua, Skate,
13/04/2025,,4° Pet Run - 2025 - shopping Eldorado,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/4a-pet-run-2025-shopping-eldorado/
13/04/2025,,Liga da Justiça Kids Run e Corrida Scooby-Doo 2025 - Guarulhos,,,,Guarulhos-SP,Corrida de rua, Corrida infantil,
13/04/2025,Manhã,Corridas de Montanha 2025 - etapa Paranapiacaba,,,,Santo André-SP,Corrida de montanha, Corrida de trilha,
13/04/2025,Manhã,Circuito Marilson de corrida de rua 2025 - São Bernardo do Campo,,,,São Bernardo do Campo-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-marilson-de-corrida-de-rua-2025-sao-bernardo-do-campo/
13/04/2025,Manhã,Circuito Rotary Move 2025 - Guarulhos,,,,Guarulhos-SP,Corrida de rua,,https://esportividade.com.br/evento/rotary-move-2024-movimento-pela-saude-guarulhos/
13/04/2025,Manhã,Corrida da Conscientização do Autismo 2025 - Parque Ecológico do Tietê,,,,São Paulo - Zona Leste,Corrida de rua, Corrida de trilha,
13/04/2025,Manhã,Made For The Trail 2025 - Arujá,,,,Arujá-SP,Corrida de trilha,,https://esportividade.com.br/evento/corrida-rustica-do-clube-gecebs-de-beisebol-2023-copy/
20/04/2025,,Etapa Higienópolis/praça Charles Miller 2025 - diurna - Santander Track&Field Run Series,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/etapa-higienopolis-praca-charles-miller-2025-diurna-santander-trackfield-run-series/
27/04/2025,,Corrida e Caminhada Bem-Estar 2025 - abril - parque Villa-Lobos,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/corrida-e-caminhada-bem-estar-2024-parque-villa-lobos/
27/04/2025,,Circuito Cidades Paulistas 2025 - etapa Piracicaba 1,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-cidades-paulistas-2025-etapa-piracicaba-1/
27/04/2025,Manhã,Seven Run 2025 - São Paulo,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/seven-run-2025-sao-paulo/
27/04/2025,Manhã,Campinas 2025 - Santander Track&Field Run Series,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/campinas-2025-santander-trackfield-run-series/
27/04/2025,Manhã,Colinas Shopping 2025 - Santander Track&Field Run Series,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/colinas-shopping-2025-santander-trackfield-run-series/
27/04/2025,Manhã,The Bull Run 2025 - São Paulo,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/the-bull-run-2025-sao-paulo/
27/04/2025,Manhã,Corrida Pé no Chão Running 2025 - Mogi das Cruzes,,,,Mogi das Cruzes-SP,Corrida de rua,,https://esportividade.com.br/evento/corrida-pe-no-chao-running-2025-mogi-das-cruzes/
27/04/2025,Manhã,Run Day 2025 - Parque Ecológico do Tietê,,,,São Paulo - Zona Leste,Corrida de rua, Corrida de trilha,
27/04/2025,Manhã,Parque Anhanguera/Perus - Circuito Popular de corrida de São Paulo 2025,,,,São Paulo - Zona Norte,Corrida de rua, Corrida de trilha,
